0,0,482,512,-1,-1,-1,-1,-1,-1
1,0.018227,482,512,-1,-1,-1,-1,-1,-1
2,1.11319,3415,17355,-1,-1,-1,-1,-1,-1
3,0.392529,3415,17355,-1,-1,-1,-1,-1,-1
4,0.027989,3636,17797,-1,-1,-1,-1,-1,-1
5,0.418608,5367,25589,-1,-1,-1,-1,-1,-1
6,0.03192,5367,25589,0,0.557604,3.14159,2.05189,1.77273e+06,8727.18
8,290.909,2044,10362,3.94248e-08,0.65812,3.14159,1.90544,250050,555.954
