0,0,12034,12032,-1,-1,-1,-1,-1,-1
1,0.32577,12034,12032,-1,-1,-1,-1,-1,-1
2,4.28108,14770,82785,-1,-1,-1,-1,-1,-1
3,17.3495,14770,82785,-1,-1,-1,-1,-1,-1
4,1.29415,21941,94128,-1,-1,-1,-1,-1,-1
5,26.8074,65642,318736,-1,-1,-1,-1,-1,-1
6,0.470565,65642,318736,0,0.222284,3.14159,2.48274,1e+50,8.15722e+45
8,35.8979,8391,48501,7.30005e-08,0.451279,3.14159,2.05959,441657,339.213
7,0.352008,19947,107132,7.30005e-08,0.541188,3.14159,2.00171,441657,159.545
8,5.58782,10560,59655,7.59813e-08,0.514766,3.14159,2.01017,441657,258.05
9,2.97478,10560,56790,4.51975e-07,0.553236,3.14159,1.92236,428098,48.3458
10,10.2389,10560,56790,6.30796e-07,0.579095,3.14159,1.92854,42910.9,21.3211
7,0.321801,14843,76222,6.30796e-07,0.614105,3.14159,1.91459,42910.9,17.0208
8,7.82969,9960,53360,6.30796e-07,0.602209,3.14159,1.91732,42910.9,16.0698
9,2.03611,9960,53330,2.09726e-06,0.607756,3.14159,1.90203,18831.3,11.4369
10,9.12189,9960,53330,2.09726e-06,0.627515,3.14159,1.88777,18831.3,11.2015
7,0.15816,12589,64395,2.09726e-06,0.645895,3.14159,1.88197,18831.3,10.0117
8,5.79704,9602,51271,2.09726e-06,0.634,3.14159,1.88838,18831.3,11.0936
9,1.73204,9602,51276,2.09726e-06,0.63636,3.14159,1.88173,18831.3,10.6293
10,5.64993,9602,51276,2.09726e-06,0.649631,3.14159,1.86844,18831.3,10.5103
7,0.127395,11570,59159,2.09726e-06,0.662163,3.14159,1.8649,18831.3,9.66948
8,3.54681,9310,49704,2.09726e-06,0.652071,3.14159,1.87148,18831.3,10.0297
9,1.46538,9310,49715,2.09726e-06,0.652738,3.14159,1.86757,18831.3,9.81997
10,5.32082,9310,49715,2.09726e-06,0.660674,3.14159,1.85785,18831.3,9.76424
7,0.074935,11061,56550,2.09726e-06,0.670938,3.14159,1.85495,18831.3,9.08904
8,2.8512,9258,49346,2.09726e-06,0.662382,3.14159,1.85805,18831.3,9.77992
9,1.42722,9258,49364,2.09726e-06,0.66287,3.14159,1.85604,18831.3,9.76572
10,5.08427,9258,49364,2.09726e-06,0.668078,3.14159,1.85029,18831.3,9.7342
