9,2.18725,12823,70289,0.0049373,0.755939,3.12659,1.77142,125.833,4.01382
10,6.91538,12823,70289,0.0049373,0.766869,3.12659,1.75881,125.833,3.96011
11,0.126794,-1,-1,-1,-1,-1,-1,-1,-1
7,0.39635,21762,114819,0.0049373,0.721963,3.12558,1.81947,99.6897,4.3578
8,4.48697,14574,80193,0.0146916,0.765598,3.11796,1.77465,55.3203,3.92153
9,2.59186,14574,80264,0.0581428,0.767625,3.01023,1.769,23.9158,3.89563
10,6.83049,14574,80264,0.0581428,0.786036,3.00227,1.74761,23.9158,3.79667
7,0.273602,18350,97326,0.0581428,0.773414,3.00227,1.7704,23.9158,3.91646
8,3.35149,14300,78687,0.0742719,0.78801,2.99467,1.74776,23.9158,3.78969
9,2.54579,14300,78711,0.0768799,0.788712,2.99467,1.74564,17.3028,3.78183
10,6.739,14300,78711,0.0768799,0.798025,2.99467,1.73334,17.3028,3.73808
7,0.223309,17343,92153,0.0768799,0.786557,2.99467,1.7539,17.3028,3.83875
8,3.16791,14202,78154,0.0768799,0.797711,2.99467,1.73571,17.3028,3.7424
9,2.60107,14202,78183,0.0768799,0.79782,2.99467,1.73468,17.3028,3.73951
10,6.39913,14202,78183,0.0768799,0.804002,2.99467,1.72694,17.3028,3.71231
11,0.051291,-1,-1,-1,-1,-1,-1,-1,-1
7,0.26685,16684,89547,0.0768799,0.787484,2.97681,1.74673,18.9815,3.83316
8,4.91874,14426,79389,0.175451,0.801832,2.91266,1.73304,10.9947,3.72692
9,2.78328,14426,79409,0.175451,0.802153,2.91266,1.73206,10.9947,3.72301
10,7.55258,14426,79409,0.189315,0.80767,2.83036,1.72531,9.07642,3.69383
8,5.97684,14233,78377,0.174941,0.808208,2.82849,1.7248,9.00846,3.6905
12,1.83842,23,7,0.31703,0.680689,2.53514,2.00768,6.93735,4.42078
13,-1,0,-1,-1,-1,-1,-1,-1,-1
